,Follower,Followee,Weight
0,6734,48,1
1,7742,331,1
2,84649,344,1
3,2472,365,1
4,498,403,1
5,6567,475,1
6,403,498,1
7,2332,508,1
8,4580,545,1
9,12444,554,1
10,12444,573,1
11,612,611,1
12,611,612,1
13,403,652,1
14,2574,694,1
15,2286,724,1
16,694,757,1
17,694,769,1
18,1769,830,1
19,4676,889,1
20,3674,972,1
21,7960,1135,1
22,6782,1175,1
23,2309,1187,1
24,6567,1351,1
25,3633,1407,1
26,2534,1462,1
27,2916,1547,1
28,6607,1570,1
29,84649,1608,1
30,10147,1619,1
31,2685,1635,1
32,6718,1637,1
33,2472,1647,1
34,1893,1650,1
35,2685,1652,1
36,2685,1654,1
37,2685,1667,1
38,2685,1670,1
39,2685,1672,1
40,12444,1675,1
41,12386,1677,1
42,2685,1681,1
43,2685,1701,1
44,2279,1731,1
45,1848,1752,1
46,830,1769,1
47,12444,1782,1
48,1810,1786,1
49,2685,1787,1
50,1810,1791,1
51,2685,1795,1
52,2068,1802,1
53,1861,1806,1
54,1791,1810,1
55,2330,1848,1
56,1895,1851,1
57,2569,1859,1
58,1806,1861,1
59,2569,1862,1
60,1851,1868,1
61,1810,1874,1
62,8128,1878,1
63,1806,1882,1
64,5599,1883,1
65,1806,1884,1
66,84649,1885,1
67,1851,1887,1
68,2244,1889,1
69,12444,1893,1
70,1851,1895,1
71,2569,1896,1
72,1851,1902,1
73,8128,1916,1
74,1851,1918,1
75,12444,1923,1
76,3843,1924,1
77,2013,1925,1
78,2013,1931,1
79,1851,1932,1
80,2035,1949,1
81,6651,1966,1
82,1848,1968,1
83,5008,1974,1
84,4035,1975,1
85,2013,1977,1
86,2255,1980,1
87,1975,1981,1
88,2013,1983,1
89,2013,1988,1
90,1975,1990,1
91,1988,1991,1
92,1988,1992,1
93,1975,1995,1
94,1988,1996,1
95,1975,1997,1
96,84649,1998,1
97,1988,2003,1
98,1988,2004,1
99,1988,2006,1
100,1988,2012,1
101,1988,2013,1
102,48,2017,1
103,2244,2023,1
104,5990,2024,1
105,1988,2027,1
106,1988,2033,1
107,1988,2034,1
108,2277,2035,1
109,2255,2045,1
110,1851,2053,1
111,2244,2057,1
112,2619,2061,1
113,1802,2068,1
114,2155,2070,1
115,2045,2072,1
116,2277,2077,1
117,4032,2078,1
118,1988,2079,1
119,4032,2084,1
120,6607,2085,1
121,2157,2087,1
122,2057,2088,1
123,2237,2092,1
124,2045,2096,1
125,2237,2099,1
126,2155,2100,1
127,2045,2103,1
128,4032,2109,1
129,2342,2118,1
130,4032,2120,1
131,3095,2129,1
132,1896,2136,1
133,2484,2138,1
134,4032,2141,1
135,2057,2142,1
136,2342,2143,1
137,2369,2148,1
138,3139,2150,1
139,2070,2155,1
140,2057,2156,1
141,2087,2157,1
142,2057,2160,1
143,2087,2167,1
144,2155,2172,1
145,2057,2176,1
146,2057,2178,1
147,2675,2179,1
148,4032,2188,1
149,2869,2194,1
150,2057,2197,1
151,3655,2205,1
152,4382,2206,1
153,2057,2207,1
154,2238,2208,1
155,2238,2212,1
156,2057,2213,1
157,2869,2219,1
158,2057,2221,1
159,2869,2222,1
160,2045,2226,1
161,2238,2228,1
162,2045,2236,1
163,2013,2237,1
164,2228,2238,1
165,2045,2242,1
166,2057,2244,1
167,2279,2246,1
168,2194,2248,1
169,2228,2254,1
170,2045,2255,1
171,4033,2260,1
172,4382,2266,1
173,1187,2270,1
174,2148,2272,1
175,2035,2277,1
176,3105,2279,1
177,3417,2280,1
178,724,2286,1
179,3262,2287,1
180,4382,2291,1
181,3262,2298,1
182,2342,2305,1
183,1187,2309,1
184,2579,2315,1
185,2869,2318,1
186,7041,2323,1
187,1848,2330,1
188,4382,2332,1
189,2342,2335,1
190,84649,2341,1
191,2335,2342,1
192,84649,2360,1
193,9210,2363,1
194,4796,2365,1
195,573,2366,1
196,2148,2369,1
197,9210,2380,1
198,2148,2384,1
199,7610,2391,1
200,1187,2402,1
201,2087,2404,1
202,4675,2407,1
203,2323,2408,1
204,13394,2415,1
205,3776,2416,1
206,3776,2422,1
207,1462,2423,1
208,2272,2425,1
209,3776,2430,1
210,3776,2431,1
211,3776,2436,1
212,3776,2447,1
213,3776,2450,1
214,3776,2460,1
